Finished,Danial Frost,['/-/media/IndyCar/Schedules/WinnerImages/INDY-NXT/2023/01-STP-Frost.jpg?h=350&iar=0&mh=350&w=623', '/-/media/IndyCar/Schedules/TrackLogos/CityOfStPetersburg.png?h=75&iar=0&mh=75&w=94', '/-/media/IndyCar/Flags/Singapore.png?h=45&iar=0&w=65']
Upcoming,INDY NXT by Firestone Grand Prix of Alabama,2023-05-01 10:25:00,['/-/media/IndyCar/Logos/Networks/PeacockStreaming.png', '/-/media/IndyCar/Logos/INDYCAR-LIVE-IL.png', '/-/media/IndyCar/Logos/SiriusXM-2020.png']
Upcoming,INDY NXT by Firestone Grand Prix,2023-05-13 22:30:00,['/-/media/IndyCar/Logos/Networks/PeacockStreaming.png', '/-/media/IndyCar/Logos/INDYCAR-LIVE-IL.png', '/-/media/IndyCar/Logos/SiriusXM-2020.png']
Upcoming,INDY NXT by Firestone Detroit Grand Prix Race 1,2023-06-04 10:05:00,['/-/media/IndyCar/Logos/Networks/PeacockStreaming.png', '/-/media/IndyCar/Logos/INDYCAR-LIVE-IL.png', '/-/media/IndyCar/Logos/SiriusXM-2020.png']
Upcoming,INDY NXT by Firestone Detroit Grand Prix Race 2,2023-06-05 10:05:00,['/-/media/IndyCar/Logos/Networks/PeacockStreaming.png', '/-/media/IndyCar/Logos/INDYCAR-LIVE-IL.png', '/-/media/IndyCar/Logos/SiriusXM-2020.png']
Upcoming,INDY NXT by Firestone Grand Prix at Road America,2023-06-18 21:30:00,['/-/media/IndyCar/Logos/Networks/PeacockStreaming.png', '/-/media/IndyCar/Logos/INDYCAR-LIVE-IL.png', '/-/media/IndyCar/Logos/SiriusXM-2020.png']
Upcoming,INDY NXT by Firestone Grand Prix at Mid-Ohio,2023-07-02 22:00:00,['/-/media/IndyCar/Logos/Networks/PeacockStreaming.png', '/-/media/IndyCar/Logos/INDYCAR-LIVE-IL.png', '/-/media/IndyCar/Logos/SiriusXM-2020.png']
Upcoming,INDY NXT by Firestone at Iowa Speedway,2023-07-22 21:30:00,['/-/media/IndyCar/Logos/Networks/PeacockStreaming.png', '/-/media/IndyCar/Logos/INDYCAR-LIVE-IL.png', '/-/media/IndyCar/Logos/SiriusXM-2020.png']
Upcoming,INDY NXT by Firestone Music City Grand Prix,2023-08-06 20:35:00,['/-/media/IndyCar/Logos/Networks/PeacockStreaming.png', '/-/media/IndyCar/Logos/INDYCAR-LIVE-IL.png', '/-/media/IndyCar/Logos/SiriusXM-2020.png']
Upcoming,INDY NXT by Firestone Grand Prix,2023-08-12 02:20:00,['/-/media/IndyCar/Logos/Networks/PeacockStreaming.png', '/-/media/IndyCar/Logos/INDYCAR-LIVE-IL.png', '/-/media/IndyCar/Logos/SiriusXM-2020.png']
Upcoming,INDY NXT by Firestone OUTFRONT 100,2023-08-27 01:25:00,['/-/media/IndyCar/Logos/Networks/PeacockStreaming.png', '/-/media/IndyCar/Logos/INDYCAR-LIVE-IL.png', '/-/media/IndyCar/Logos/SiriusXM-2020.png']
Upcoming,INDY NXT by Firestone Grand Prix of Portland,2023-09-03 22:40:00,['/-/media/IndyCar/Logos/Networks/PeacockStreaming.png', '/-/media/IndyCar/Logos/INDYCAR-LIVE-IL.png', '/-/media/IndyCar/Logos/SiriusXM-2020.png']
Upcoming,INDY NXT by Firestone Grand Prix of Monterey Race 1,2023-09-10 00:55:00,['/-/media/IndyCar/Logos/Networks/PeacockStreaming.png', '/-/media/IndyCar/Logos/INDYCAR-LIVE-IL.png', '/-/media/IndyCar/Logos/SiriusXM-2020.png']
Upcoming,INDY NXT by Firestone Grand Prix of Monterey Race 2,2023-09-11 10:20:00,['/-/media/IndyCar/Logos/Networks/PeacockStreaming.png', '/-/media/IndyCar/Logos/INDYCAR-LIVE-IL.png', '/-/media/IndyCar/Logos/SiriusXM-2020.png']
